timestamp	commit	toffoli	clifford	qubits	ops	correct	notes
1780021974	fa473ea	3942753.000	22627118.169	2715	28677221	OK	
1780022568	935dc1f	3942753.000	22627118.169	2715	28677221	OK	
1780023874	935dc1f	3942753.000	22627118.169	2715	28677221	OK	
1780023900	935dc1f	3962753.000	22627113.285	2715	28697222	OK	
1780024119	935dc1f	3962753.000	22627113.285	2715	28697222	OK	
1780047641	750fdf9	3962753.000	22627113.285	2715	28697222	OK	
1780052385	196206e	3962753.000	22627113.285	2715	28697222	OK	
1783652492	422f21d	1320762.912	5541335.885	1152	9784075	OK	first local run, unmodified clone
1785714097	801dd20	1289073.125	5330813.471	1154	9058005	OK	
1785728202	nogit	1289073.125	5330813.471	1154	9058005	OK	
1785728312	6af29f1	1289073.125	5330813.471	1154	9058005	OK	
1785883839	37a4671	1288101.386	5331002.018	1154	9057301	OK	regenerate score.json on current head for README consistency
1787457615	0e6604d	915947.392	10719804.752	1278	12912890	OK	
1787500309	86b1c18	914242.763	10700630.804	1273	12887894	OK	
1787502694	6ff38ce	916615.429	10418609.847	1267	12666395	OK	
