tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
sj2d2	62000008397118	4	9024	9024	7399	2180	5218	cf5b5a2a7526e64c26d7bb7a31c020b1
sj2d2	62000008397119	6	9024	9024	5752	1744	4008	89430c3bc223605fb9a5b0e4acd71413
sj2d2	62000008397120	5	9024	9024	9193	2699	6493	2fd2af2e636c41beea0381121aac605b
sj2d2	62000008397121	2	9024	9024	6642	2252	4390	df1a3629dfe188cb0d6e431374a171cf
sj2d2	62000008397122	9	9024	9024	6766	1915	4850	10f426820a76c2adb61938cab3532517
sj2d2	62000008397123	3	9024	9024	8517	2977	5540	4e63ed48c4ea372bc4f8fc35d072e083
sj2d2	62137447350497	9	9024	9024	7440	2316	5123	80a48131272c70bfa92ef0b002d5b6ed
sj2d2	62274886303969	9	9024	9024	7991	2508	5483	60a3ab05621eab0a2c9da74a5b38aa9c
sj2d2	62412325257441	8	9024	9024	7064	2192	4872	02bdb9fcb32de802e206d6e24083089b
sj2d2	62549764210913	9	9024	9024	6454	1769	4684	16fecf4b54539bf7d2e433176b469d8e
sj2d2	62687203164385	6	9024	9024	7043	2174	4869	4d01ac9a246c526984c8bd3a6be1ab2a
sj2d2	62824642117857	7	9024	9024	7471	2609	4861	51a2c357ef2dd429978d0aa44f990ebd
sj2d2	62962081071329	11	9024	9024	7202	2439	4763	5077589896bae86f46d328a5fb9a63bb
sj2d2	63099520024800	7	9024	9024	6849	2295	4553	463dd0e617e5aad44bf6af03d200e4b1
sj2d2	63099520024801	7	9024	9024	6779	2000	4779	eb9a715d89118bbc086e679cf3f6941a
sj2d2	63236958978273	7	9024	9024	7232	2222	5009	d151890a56b007663659387f529685e9
sj2d2	63374397931745	4	9024	9024	6657	2224	4433	1aeb66367fefc70622161c72c52e2b4b
sj2d2	63511836885217	2	9024	9024	6923	2090	4832	3e07c7c3254c6b9977faedf0bb080cdc
sj2d2	63649275838689	3	9024	9024	7393	2473	4919	51a0206e5dd20e6c6555aa1bba048d1a
sj2d2	63786714792161	10	9024	9024	7065	2269	4795	50ebcecb46e1b88e3280f4e615c24d1a
sj2d2	63924153745633	7	9024	9024	6833	2410	4423	927c57a6612b54712db72e5b4c9d38e0
sj2d2	64061592699105	7	9024	9024	7379	2451	4928	76af06683fe70c412bfaa150216e8aea
sj2d2	64199031652576	7	9024	9024	6836	2473	4362	abcf59901a5691cb3dbfae3a28057d87
sj2d2	64199031652577	6	9024	9024	9079	2445	6633	3b6cf0faacb0162216e5abf29328c93d
sj2d2	64336470606049	9	9024	9024	6969	2154	4815	135a1859cc5cda096038e3e0ca6745a9
sj2d2	64473909559521	6	9024	9024	7653	3002	4651	6dc11e67347012698910e99698d360ef
sj2d2	64611348512993	6	9024	9024	6238	2128	4109	b18781eccca573f5c2e7278bfae34fbf
sj2d2	64748787466465	3	9024	9024	7481	2293	5187	83c3c474fe80423910f1b271bbd6394d
sj2d2	64886226419937	4	9024	9024	8117	2289	5828	8f48541951886ddbe6bd8eff90d2a0f4
sj2d2	65023665373409	7	9024	9024	7370	2761	4608	0a11393b71c786730f4597c9ee07d29c
sj2d2	65161104326881	8	9024	9024	7846	2245	5600	8c50732855f1c43d73be2bd6fac34a80
sj2d2	65298543280352	9	9024	9024	7578	3073	4504	495d79cdfca67026660e70b119bdbb08
sj2d2	65298543280353	2	9024	9024	9050	2790	6259	2e784b3d596408ba78a6cb0119dd2a1b
sj2d2	65435982233825	4	9024	9024	7032	2207	4825	aa744bb6cfddfa4c26e6047a3da44ff6
sj2d2	65573421187297	6	9024	9024	7762	2419	5342	31e0fcb7183c72c63bae38ff276db17a
sj2d2	65710860140769	4	9024	9024	8468	2533	5935	ab17c239e5ec7a7f574f0d2de9776b06
sj2d2	65848299094241	7	9024	9024	7763	1951	5811	da6e162c0345e0a5876d008c22989eff
sj2d2	65985738047713	11	9024	9024	7607	1787	5819	9f0f5bea49d729f23ab8d08a3ca245fc
sj2d2	66123177001185	7	9024	9024	6026	1739	4287	534e38438fc138dd7836670a264568f7
sj2d2	66260615954657	1	9024	9024	7367	2223	5144	834cfce8ec92a58400aefaae69aef395
sj2d2	66398054908128	6	9024	9024	7449	2311	5137	a8b75128e902bb6b287f1906859d370e
sj2d2	66398054908129	6	9024	9024	7283	2525	4757	4a68d420babd8748008e343517801db6
sj2d2	66535493861601	5	9024	9024	6474	1852	4622	90463c124ac60a4bf94ad041e7b57591
sj2d2	66672932815073	7	9024	9024	8264	2868	5395	3ff1eac3e448d4bb27ba8198c8a9e2cc
sj2d2	66810371768545	7	9024	9024	7245	2200	5044	bfc2053234e9b69ae5bbe343bc6ec459
sj2d2	66947810722017	7	9024	9024	8638	2886	5752	da97875495a7ad7d3e55c475875542e6
sj2d2	67085249675489	5	9024	9024	7759	2866	4893	829bc6ce571f558b2ddf9ac0976f9c6c
sj2d2	67222688628961	3	9024	9024	7762	2492	5269	24e75cf04e33b157dfc71b455c8261c4
sj2d2	67360127582433	4	9024	9024	7498	2160	5338	ab681b02d3e38a4fb67028af7cc0e8a0
sj2d2	67497566535904	3	9024	9024	7315	1818	5496	aadb83616e235d89155b28c1b5455aee
sj2d2	67497566535905	6	9024	9024	6697	2242	4454	9d9fb1fd3b12a389e5516658369eaf59
sj2d2	67635005489377	5	9024	9024	7083	2228	4855	71b21344f03cc12bcee00f85f5570c15
sj2d2	67772444442849	5	9024	9024	8558	2724	5834	2004582f903104b84cb253c3251b3f2b
sj2d2	67909883396321	9	9024	9024	7223	1833	5389	a6618c7dd559768b7210c1a7d5bab901
sj2d2	68047322349793	11	9024	9024	7491	2411	5079	4b4be1e6c51963e0a2e0e0d387679f41
sj2d2	68184761303265	2	9024	9024	6898	2129	4768	020a849a048afb990354ca16fb8db702
sj2d2	68322200256737	6	9024	9024	8226	2579	5646	5eaa3ab7ca55cfa558a247c96c6990d1
sj2d2	68459639210209	5	9024	9024	7574	2676	4898	e902c93c156aa82f5e8008a7f7053313
sj2d2	68597078163680	5	9024	9024	8409	2819	5590	076aab3a8f8a1be69b22e6b5d666ba75
sj2d2	68597078163681	3	9024	9024	7407	2678	4728	b2c3fea8228bcf094c140cd863aae5ef
sj2d2	68734517117153	7	9024	9024	8993	2640	6352	a136eb058f473f34ef2ea87edafd76a4
sj2d2	68871956070625	8	9024	9024	7550	2274	5276	9f48618bac83a37aa91c5156d61c9c0e
sj2d2	69009395024097	5	9024	9024	7860	2432	5428	728bf5161c9cb58e3237c9dfd5edfa2f
sj2d2	69146833977569	7	9024	9024	7484	2640	4843	6e4f890c4b1003463ef02be022c5b519
sj2d2	69284272931041	8	9024	9024	6135	1848	4286	ca3669b64ab49345990b3ea2ccf8402d
sj2d2	69421711884513	5	9024	9024	6328	1739	4588	6101350f9716f92f0bbb8cb8d4dce091
sj2d2	69559150837985	9	9024	9024	9108	3232	5876	e70c7562f78200e5ace3efb7de11a6be
sj2d2	69696589791456	5	9024	9024	8711	2333	6377	4c53165869033b569f2b9347a328d347
sj2d2	69696589791457	6	9024	9024	8344	2588	5756	021f967a01a117792e5ed1c4da007965
sj2d2	69834028744929	6	9024	9024	6556	1935	4621	c295bbbf5d6c8b1dda6aa6cff14f6935
sj2d2	69971467698401	7	9024	9024	7882	2116	5766	9087a8738341e13300b3c9248fb4ae63
sj2d2	70108906651873	7	9024	9024	7810	2579	5231	d54440cb18dd77e1ef5585ca28accd5c
sj2d2	70246345605345	5	9024	9024	8397	2817	5580	4267fd8c498e4a714754e78360c43045
sj2d2	70383784558817	8	9024	9024	7247	2589	4657	639d8007ebf17323b02323ae0ec9af8e
sj2d2	70521223512289	9	9024	9024	6948	1929	5018	c9d1f0bf8db37c67be5eb1c4bbbcf704
sj2d2	70658662465761	5	9024	9024	7266	2161	5105	21acf393c812bbad7050d32c5b756973
sj2d2	70796101419232	5	9024	9024	6738	1917	4820	4096abbe2bb2f07d11deb1de420d06fe
sj2d2	70796101419233	6	9024	9024	7441	1975	5466	28690b09d431af431c61c20e04711516
sj2d2	70933540372705	5	9024	9024	8080	2485	5595	83c9f17b0ce5446a1eb5665396ae15ce
sj2d2	71070979326177	5	9024	9024	8354	2456	5897	ddacb363f9d031289c5681147ef68f8e
sj2d2	71208418279649	4	9024	9024	6376	1870	4505	17d354c793cb460e85c13f7b4142a0c8
sj2d2	71345857233121	2	9024	9024	7191	2371	4819	6d43e75dff25ce1ef08ac610a0f3c059
sj2d2	71483296186593	7	9024	9024	8468	2508	5960	3b26ae3a63eb5cb22b104516f5b0b62a
sj2d2	71620735140065	3	9024	9024	8030	2803	5227	d8e867d75e8fa2d69c8318b9482c17af
sj2d2	71758174093537	6	9024	9024	7085	2575	4510	96184900fd678a70d94833d80d578246
sj2d2	71895613047008	4	9024	9024	7579	2326	5252	bef9f1cd1eb13a0c934291b88bfb414d
sj2d2	71895613047009	2	9024	9024	7481	2576	4905	b19941cd4a7d9e3084b94261683877ec
sj2d2	72033052000481	8	9024	9024	7138	1888	5249	e92eb41c181bf45b6453ab37df4d791c
sj2d2	72170490953953	9	9024	9024	7773	3561	4211	ca4dc2c73afa1f1d1ba22268491730af
sj2d2	72307929907425	3	9024	9024	7870	2833	5036	43f474e9d83a280468be48fa0a1e375c
