A	200321420125
A	200321420126
A	200321420127
A	200321420128
A	200321420129
A	200321420130
A	200321420131
A	200321420132
A	200321420133
A	200321420134
A	200321420135
A	200321420136
A	200321420137
A	200321420138
A	200321420139
A	200321420140
A	200321420141
A	200321420142
A	200321420143
A	200321420144
A	200321420145
A	200321420146
A	200321420147
A	200321420148
A	200321420149
A	200321420150
A	200321420151
A	200321420152
A	200321420153
A	200321420154
A	200321420155
A	200321420156
A	200321420157
A	200321420158
A	200321420159
A	200321420160
A	200321420161
A	200321420162
A	200321420163
A	200321420164
A	200321420165
A	200321420166
A	200321420167
A	200321420168
A	200321420169
A	200321420170
A	200321420171
A	200321420172
A	200321420173
A	200321420174
A	200321420175
A	200321420176
A	200321420177
A	200321420178
A	200321420179
A	200321420180
A	200321420181
A	200321420182
A	200321420183
A	200321420184
A	200321420185
A	200321420186
A	200321420187
A	200321420188
A	200321420189
A	200321420190
A	200321420191
A	200321420192
A	200321420193
A	200321420194
A	200321420195
A	200321420196
A	200321420197
A	200321420198
A	200321420199
A	200321420200
A	200321420201
A	200321420202
A	200321420203
A	200321420204
A	200321420205
A	200321420206
A	200321420207
A	200321420208
A	200321420209
A	200321420210
A	200321420211
A	200321420212
A	200321420213
A	200321420214
A	200321420215
A	200321420216
A	200321420217
A	200321420218
A	200321420219
A	200321420220
A	200321420221
A	200321420222
A	200321420223
A	200321420224
B	1299833047901
B	2399344675677
B	3498856303453
B	4598367931229
B	5697879559005
B	6797391186781
B	7896902814557
B	8996414442333
B	10095926070109
B	11195437697885
B	12294949325661
B	13394460953437
B	14493972581213
B	15593484208989
B	16692995836765
B	17792507464541
B	18892019092317
B	19991530720093
B	21091042347869
B	22190553975645
B	23290065603421
B	24389577231197
B	25489088858973
B	26588600486749
B	27688112114525
B	28787623742301
B	29887135370077
B	30986646997853
B	32086158625629
B	33185670253405
B	34285181881181
B	35384693508957
B	36484205136733
B	37583716764509
B	38683228392285
B	39782740020061
B	40882251647837
B	41981763275613
B	43081274903389
B	44180786531165
B	45280298158941
B	46379809786717
B	47479321414493
B	48578833042269
B	49678344670045
B	50777856297821
B	51877367925597
B	52976879553373
B	54076391181149
B	55175902808925
B	56275414436701
B	57374926064477
B	58474437692253
B	59573949320029
B	60673460947805
B	61772972575581
B	62872484203357
B	63971995831133
B	65071507458909
B	66171019086685
B	67270530714461
B	68370042342237
B	69469553970013
B	70569065597789
B	71668577225565
B	72768088853341
B	73867600481117
B	74967112108893
B	76066623736669
B	77166135364445
B	78265646992221
B	79365158619997
B	80464670247773
B	81564181875549
B	82663693503325
B	83763205131101
B	84862716758877
B	85962228386653
B	87061740014429
B	88161251642205
B	89260763269981
B	90360274897757
B	91459786525533
B	92559298153309
B	93658809781085
B	94758321408861
B	95857833036637
B	96957344664413
B	98056856292189
B	99156367919965
B	100255879547741
B	101355391175517
B	102454902803293
B	103554414431069
B	104653926058845
B	105753437686621
B	106852949314397
B	107952460942173
B	109051972569949
B	110151484197725
CTRL	200321420125
CTRL	200321420125
