block	nonce	exit	classical	phase	ancilla	avgT	md5
A	200321420201	1	13	9	0	1288102.351	3e395248094e14c7c981739740cb31df
A	200321420199	1	16	9	0	1288109.141	732a1298b118b7a53985ced989c1e190
A	200321420200	1	15	12	0	1288110.680	d0fc77d04928fddf0257f89758b94b41
A	200321420202	1	18	16	0	1288113.731	0342e17b713d5741aebbfc2c534e3dfb
A	200321420203	1	15	12	0	1288121.488	c6eec90f017117f1da4a3997e0e1044a
A	200321420204	1	16	8	0	1288111.421	39e39d85d430a9ec9e10582837101d7a
A	200321420207	1	13	11	0	1288121.013	309a6b3c39428119deb5507fef74b0d5
A	200321420205	1	17	12	0	1288117.228	2b7b8bb08713dbda72be404b2f97caf9
A	200321420206	1	19	14	0	1288108.936	59a917aa3227d61ad7e862466edba98b
A	200321420210	1	20	15	0	1288117.299	cd6169f3d82c8fc118917e5a11a314ee
A	200321420208	1	20	13	0	1288112.635	78ec5ccd50f1a614ba073c90005b1729
A	200321420209	1	21	18	0	1288114.334	b357146c346e4b17b8db03dde74dc90b
A	200321420213	1	15	15	0	1288119.930	2f455a973723f42dea73495781e122eb
A	200321420211	1	16	11	0	1288116.788	7f655a9fdad8d48d823677ce4482dde7
A	200321420212	1	14	14	0	1288120.273	0c205f34914ae5155a3c3b102dff54b7
A	200321420216	1	13	7	0	1288123.343	3b36160f30e9e62077e65f08cbd589c3
A	200321420214	1	19	9	0	1288110.044	a5073517812df1255ba86bb006fe5d3d
A	200321420215	1	24	11	0	1288116.536	6c7084a2c2fbcc03caf08c380387cba0
A	200321420219	1	11	9	0	1288113.600	b6c7536cd7b00633ae1bee5b2ad93e42
A	200321420217	1	13	7	0	1288113.489	15c02c55e72d811e681b8f6d3143549c
A	200321420220	1	18	12	0	1288118.277	6033d93e02eb0854adea5f5438289a9a
A	200321420221	1	17	9	0	1288122.362	c0966d4eaca30804bd2c6f538d6aaba5
A	200321420218	1	13	10	0	1288117.967	f584c5b1a71000d2bc1e01fb1c64abfd
B	1299833047901	1	20	10	0	1288115.119	35a290de21b10d4d8e21283bb7eda1e4
A	200321420222	1	14	6	0	1288126.500	f40651bcdf397c1e21c0851f8153d6f8
A	200321420223	1	17	10	0	1288115.986	785f6f2da0c945e1fcaadd77707f4005
B	2399344675677	1	10	9	0	1288108.445	1a08cd74dbd9a934a8951f3770fec547
B	3498856303453	1	29	22	0	1288108.649	1343b8c60bf156f504c271dfc1cbb8c6
A	200321420224	1	14	15	0	1288120.584	b88eaf8ad0e6a33425fb1514b6b99d5e
B	4598367931229	1	17	5	0	1288116.225	4c14560d7ce8648d40b523d52a0a17b7
B	7896902814557	1	17	10	0	1288106.963	d7fb09a1781f3bbfc99c38db40e6df1c
B	5697879559005	1	16	8	0	1288105.267	7f4e24003fd1c190b87db2eace78df54
B	8996414442333	1	17	14	0	1288124.627	c8a063aaa8d4838e8527897f08e24264
B	10095926070109	1	15	12	0	1288116.510	8a5042895944b5b1c2ab3ccea5157613
B	14493972581213	1	15	10	0	1288112.755	367c0d4ab542c319e657f8719e3f1584
B	11195437697885	1	15	16	0	1288108.476	6b83bf4bfadd6b0df5f8aef9777ea16c
B	6797391186781	1	22	17	0	1288118.025	9cfe7ed75ccf11db792bf13a32a0dc48
B	12294949325661	1	17	12	0	1288131.596	93a9c379369cdcc9420ea711e1f1c75d
B	15593484208989	1	17	17	0	1288122.591	81a04694373e5d4f0f1b46253369f0ae
B	16692995836765	1	13	12	0	1288122.134	0601024439226582623ed81028e655be
B	21091042347869	1	13	5	0	1288116.205	696ca90bd1cc0511f8bc1d6ae51b6ad7
B	13394460953437	1	17	13	0	1288103.045	9a76f002e49aa17dc90005fc0cd38181
B	17792507464541	1	19	12	0	1288121.509	2ee689a0a1c9c68c1e4821db28c3773d
B	18892019092317	1	13	8	0	1288104.872	f224546e2035ac7b0a7a66491baff1f3
B	22190553975645	1	17	11	0	1288100.264	9faff86c29336ba10129eed258e0f8b9
B	27688112114525	1	17	17	0	1288107.439	16590df4a35844d6c8b35e4e4dcc6475
B	19991530720093	1	18	17	0	1288110.420	4a63bfd6ba44fa3b810b98c8625ee25d
B	24389577231197	1	15	12	0	1288121.575	513279b3c52986549e50fd7f3ef90172
B	23290065603421	1	14	11	0	1288117.761	84c22afc94332509b7f3a56da23953e3
B	25489088858973	1	13	9	0	1288120.190	2d75d61a75179d0aa97af9495958400c
B	28787623742301	1	14	12	0	1288122.582	3d1cb711521769c8f9b5a46b4434b4b0
B	34285181881181	1	23	10	0	1288126.143	9806cfcc0bdaf5914b2bce9fdbd0b11f
B	26588600486749	1	18	11	0	1288115.468	11a9960c52fa54bab44c568b1a4726fe
B	30986646997853	1	13	9	0	1288117.274	f464304561c0f7f1ca2f7334b01a84f2
B	29887135370077	1	11	14	0	1288109.382	961aa78d28d02aa1cefa1a7a90eee6bb
B	32086158625629	1	25	14	0	1288112.297	1caa3022565e424ea809c401dc451d91
B	35384693508957	1	18	16	0	1288111.235	1346fb51df601124c43d69b8c8d90544
B	40882251647837	1	13	9	0	1288113.034	04271d7da2614e0f77f887cd43119e6f
B	33185670253405	1	15	8	0	1288114.384	9451e69d04a869803ed0fc50de47e922
B	37583716764509	1	12	7	0	1288102.373	3aaa1c8ed044439fde265dd4edfd2dac
B	36484205136733	1	18	17	0	1288105.394	0d82e6f2b6f5aa21f1b96fd8e8547920
B	38683228392285	1	19	16	0	1288116.295	efc75ecae914cfb61fa2097928b38709
B	47479321414493	1	20	14	0	1288100.274	f2997f225c29e015f3defed4ed3f7593
B	41981763275613	1	22	12	0	1288126.008	ac5d894cd7486dd7b04f5afcb21b5478
B	39782740020061	1	22	13	0	1288128.936	70aaa1e1416d53d929a5a57beb92d7fd
B	44180786531165	1	20	14	0	1288122.496	80b3b9c169d3cf0d87b04e0b77308c53
B	43081274903389	1	22	18	0	1288135.006	3e3415005f8e403965fc9bb833ce5fb1
B	45280298158941	1	19	13	0	1288115.711	6c72d78c4e3140fcbd27b78061adf599
B	54076391181149	1	23	9	0	1288131.901	af98af83aaa17e641adfa49e451201f3
B	46379809786717	1	18	10	0	1288127.973	c3ba6a6eff10ae6a92bebf37b1ddd130
B	48578833042269	1	19	11	0	1288123.129	4ffff31a6acb2eeaa034810acb29c09f
B	50777856297821	1	17	10	0	1288122.774	f1ba01d6f6b8b4eef1e63e015b80cb3f
B	49678344670045	1	18	10	0	1288124.547	8275f42b0864439bc8893121fd930162
B	51877367925597	1	15	10	0	1288112.313	99349bbbb8e24d23bfd8129dce826d96
B	52976879553373	1	14	4	0	1288118.852	f1566019cfe98fb41edd8c021004bcca
B	60673460947805	1	15	10	0	1288110.932	9bae3655d7c33448ed3474107f7186a3
B	55175902808925	1	9	8	0	1288113.268	fbdee2589e2fb3667ee387d74f26e233
B	57374926064477	1	26	20	0	1288119.920	969905df83f3e10cbe919b3966a819c5
B	58474437692253	1	17	12	0	1288114.471	7faee2564619a679ea0bf2ee35e38e85
B	56275414436701	1	19	9	0	1288116.248	6a4b447d34865ebe66f2a224bb12a991
B	59573949320029	1	16	6	0	1288110.923	2b063df51c2bf4aafa25fd89e5ce633f
B	67270530714461	1	19	9	0	1288114.419	ebfd23e75e6351707c820691106dfda5
B	61772972575581	1	16	11	0	1288105.430	1c064569b02106cf5203309db0ad4944
B	63971995831133	1	13	6	0	1288129.508	23412de76db5de7fbf7d3b6799fb6cf3
B	65071507458909	1	17	9	0	1288117.997	fd564ce34192e037f97b3d952e1db582
B	62872484203357	1	19	13	0	1288125.737	aa147751738506613017d5523eb6e0e0
B	66171019086685	1	12	14	0	1288125.031	cd82755e5ec0b1ce985216c3865dc7d0
B	73867600481117	1	13	8	0	1288113.367	61955fc7fe77a4606d72231cfc98f8a2
B	68370042342237	1	18	8	0	1288113.139	0b68fbf3c81e3a7252f01feaca579b03
B	70569065597789	1	19	14	0	1288131.078	20eb4fabedc2262a89769e5286202ee9
B	69469553970013	1	21	12	0	1288113.612	dace83ca89c65d036e7317c6e8f7f147
B	71668577225565	1	15	11	0	1288113.160	a99507fc9ee91323ba366fb340193ed1
B	80464670247773	1	19	13	0	1288116.954	11bea27da644382407cc661a6bd9a9b7
B	74967112108893	1	26	22	0	1288106.604	a7a72d02249bd04e261aeb39e606d2d9
B	76066623736669	1	18	11	0	1288115.794	d805bf1de95ed6d57349f489dd0b8aac
B	72768088853341	1	19	19	0	1288126.155	cc0cd7fe4e2f49f56f194146548d87a1
B	77166135364445	1	19	11	0	1288120.175	18878afbf7761b974a2dcc01526a2205
B	78265646992221	1	7	6	0	1288114.841	f65aa310cfb2faa2608e2083f7af974f
B	81564181875549	1	18	14	0	1288116.484	6185b9e603c1988e5c54ca3c6686dfbc
B	87061740014429	1	17	5	0	1288112.697	62b72e5b49d98689248115bc9a1dc8e7
B	83763205131101	1	18	13	0	1288111.760	e605c365ebc65612156031169ce871c2
B	79365158619997	1	15	11	0	1288109.002	9fb52641746e10520eac7014080c2c1c
B	82663693503325	1	14	12	0	1288127.992	35d9b3922aa386d69cffeeacd98c23f7
B	84862716758877	1	18	14	0	1288113.451	399ac8a4c70887e0026d9061581aca68
B	93658809781085	1	19	13	0	1288118.173	098590b0eb70b08e15db7195f03a0ce7
B	85962228386653	1	12	11	0	1288113.227	0d5fd6029825acd32938c5cb735a6f36
B	90360274897757	1	15	10	0	1288117.565	635920c9803360d8101279ea3a7417a8
B	88161251642205	1	14	7	0	1288124.059	bb55a30021e2752915f0bf57c7db4408
B	89260763269981	1	23	14	0	1288112.007	59f9b09eb827aea6e7e9cb16b6b559e0
B	91459786525533	1	16	6	0	1288119.622	43c9c20940dda2afb44809348e03cf99
B	100255879547741	1	15	10	0	1288129.973	4a421df20f5597324afe6621a0abb53a
B	96957344664413	1	10	6	0	1288105.926	187b4456dc184766d43935b497f71703
B	92559298153309	1	17	16	0	1288117.843	268e4546e6bd2363a8f81937966fcdef
B	94758321408861	1	11	11	0	1288120.225	a3560fe5e0ff813db75ead331b266901
B	98056856292189	1	18	11	0	1288111.871	53059ddb82652e94dddfd37a2e16018a
B	95857833036637	1	14	12	0	1288116.609	21f1ae259f511d794e8c578269877f46
B	103554414431069	1	19	16	0	1288121.659	8546119b710f5d776f490ece838546cb
B	106852949314397	1	21	13	0	1288115.109	0165c117639157128733f3cb805d845e
B	99156367919965	1	10	6	0	1288115.587	ea5cb76fbae10cfbbd1163d30a1fac44
B	104653926058845	1	20	13	0	1288112.088	5f9d2f5c2a26774538b45642c067c085
B	102454902803293	1	14	12	0	1288120.325	8a7d24872ee6b333626b892da02c0525
B	101355391175517	1	18	18	0	1288112.077	55629d3420e2f8adf17c250cd730fa83
B	110151484197725	1	13	11	0	1288116.018	fa8aaaa23615e26ac222cf12ee24a941
CTRL	200321420125	0	0	0	0	1288101.386	ef30945f3afcb369192ea32897232d2f
B	109051972569949	1	18	11	0	1288123.027	5f6a9d2ce7dbae9dd210ef2bc2996366
B	105753437686621	1	12	11	0	1288118.172	85e5b752cb465302625f24f7adeac1ae
B	107952460942173	1	25	16	0	1288098.512	7bd4f7effb1f8ea1866518c3a61b736a
CTRL	200321420125	0	0	0	0	1288101.386	ef30945f3afcb369192ea32897232d2f
